PlayerID,PlayerName,AverageRebounds,AverageAssists,AverageSteals,AveragePoints,AveragePlusMinus
3056730,Karlie Samuelson,4.16,3.49,1.52,13.67,-0.67
3058892,Lexie Brown,3.91,5.59,1.79,13.61,-4.54
3058893,Shatori Walker-Kimbrough,3.12,3.39,1.9,13.53,-1.27
3058895,Brionna Jones,8.13,2.19,1.68,20.24,9.45
3058901,Allisha Gray,5.27,3.25,1.39,18.88,-3.92
3058902,Diamond DeShields,4.15,3.88,1.81,12.91,-11.17
3058908,Lindsay Allen,3.37,6.61,1.35,11.12,-2.99
3065570,Kelsey Plum,3.04,4.93,0.84,21.01,5.53
3099025,Astou Ndour-Fall,7.74,0.43,0.43,10.75,-31.62
3099736,Stephanie Talbot,6.72,5.06,1.26,8.72,-4.03
3102133,Rebecca Allen,6.35,1.79,1.52,11.9,-1.95
3142010,Azura Stevens,11.31,3.07,1.37,15.52,-11.76
3142055,Myisha Hines-Allen,10.04,5.48,1.4,16.81,-3.78
3142086,Brianna Turner,8.45,1.59,1.43,5.26,-15.99
3142191,Kelsey Mitchell,3.05,2.22,0.89,24.06,-2.83
3142250,Jordin Canada,4.42,7.42,2.05,13.5,1.19
3142255,Monique Billings,10.12,2.52,1.28,13.02,-8.44
3142327,Kia Nurse,3.17,2.62,0.94,15,-10.27
3142948,Victoria Vivians,6.19,2.6,1.17,9.87,8.59
3143510,Morgan Bertsch,6.8,0.8,0.4,8.8,-21.49
3146151,Ariel Atkins,4.52,4.15,1.97,19.98,-2.45
3149391,A'ja Wilson,13.8,2.69,2.08,31.25,7.69
3156318,Kristy Wallace,4.29,4.02,1.61,10.98,-8.34
3904576,Marina Mabrey,5.63,5.28,1.46,18.61,3.72
3904577,Arike Ogunbowale,4.7,5.36,2.21,23.46,-9.5
3906753,Natisha Hiedeman,4.03,6.24,2.08,12.75,1.55
3906972,Bridget Carleton,5.03,3.07,1.4,13.2,12.92
3907781,Sophie Cunningham,5.65,2.84,1.48,12.03,1.69
3913881,Alanna Smith,8.51,4.84,2.04,15.16,9.22
3913903,Teaira McCowan,12.75,2.48,1.38,18.6,-7.3
3916514,Kalani Brown,9.28,3.2,0.55,17.39,-9.75
3917450,Napheesa Collier,11.05,3.88,2.24,23.52,11.97
3917453,Katie Lou Samuelson,5.07,3.04,0.72,9.48,-7.74
3922628,Kennedy Burke,5.03,2.99,2.05,11.6,5.39
3934218,Megan Gustafson,7.25,0.89,1.29,14,5.73
4038390,Olivia Epoupa,6.61,9.04,4.87,4.87,1.41
4065759,Mikiah Herbert Harrigan,5.39,1.08,1.92,11.74,-15
4065760,Tyasha Harris,2.46,4.2,1.42,14.57,5.77
4065820,Kysre Gondrezick,5,5,10,12.5,-4.92
4065870,Jackie Young,5.35,6.54,1.23,19.37,8.03
4066527,Jaelyn Brown,5.96,1.7,1.13,10.5,-21.83
4066533,Sabrina Ionescu,5.69,7.6,1.27,22.7,9.45
4066548,DiJonai Carrington,6.81,2.12,2.12,17.22,2.89
4066553,Aari McDonald,3.66,6.75,1.62,15.89,-4.19
4066585,Crystal Dangerfield,3.09,5.64,1,9.64,-15.62
4068042,Natasha Mack,12.84,2.84,1.74,9.87,-8.27
4068159,Sug Sutton,2.96,6.54,1.69,7.07,-5.27
4068161,Joyner Holmes,8.45,4.31,1.03,13.62,-1.04
4257500,Cecilia Zandalasini,3.68,3.6,1.36,15.84,3.14
4280850,Maya Caldwell,4.43,2.66,1.48,12.91,-12.37
4280892,Chennedy Carter,5.45,4.75,1.68,26.87,-0.47
4281183,Lorela Cubaj,7.39,2.7,1.62,5.95,-12.14
4281190,Dana Evans,2.31,5.05,1.4,15,-12.65
4281253,DiDi Richards,5.89,2.64,0.41,9.34,-16.78
4281929,Satou Sabally,7.51,5.87,1.49,21.06,-4.95
4282168,Kiana Williams,1.78,4.44,0,9.78,-1.78
4282173,Michaela Onyenwere,3.91,2.08,1.2,14.24,-6.61
4398567,Taylor Soule,10,0,0,0,-131.72
4398591,Liz Dixon,10.25,2.25,0.25,7.5,-13.72
4398674,Rhyne Howard,5.16,3.7,2.13,20.45,-1.78
4398726,Jessika Carter,0,0,0,0,-83.72
4398729,Emily Engstler,11.06,4.06,1.64,17.02,0.94
4398751,Destanni Henderson,4.57,5.71,0.76,9.14,-15.27
4398752,Victaria Saxton,5.45,0,0,14.55,-17.61
4398764,Rae Burrell,4.7,2.9,2,15.2,-8.9
4398768,Nyara Sabally,11.93,1.7,2.61,14.55,8.19
4398776,NaLyssa Smith,11.53,1.66,1.21,17.07,-5.92
4398779,Queen Egbo,14.29,0,4.29,17.14,-1.38
4398829,Lexie Hull,5.01,2.15,1.31,11.1,-1.42
4398899,Grace Berger,5.83,2.72,1.94,12.04,-23.08
4398907,Kate Martin,5.52,3.07,0.72,8.9,2.45
4398911,Shakira Austin,13.67,1.83,2.5,23.5,-4.49
4398915,Naz Hillmon,8.89,2.4,1.29,10.55,-0.63
4398935,Veronica Burton,4.44,5.86,1.41,9.7,15.6
4398938,Dorka Juhasz,9.31,2.61,1.06,11.71,4.52
4398966,Olivia Nelson-Ododa,8.51,0.73,1.28,11.44,8.26
4399114,Lou Lopez Senechal,3.44,3.12,0.94,7.81,-30.93
4399415,Maddy Siegrist,5.6,1.68,0.62,15.86,-9.24
4420318,Ezi Magbegor,10.41,2.6,1.41,15.23,8.97
4422426,Li Yueru,10.28,1.61,0.88,14.17,-10.03
4432830,Jordan Horston,7.7,3.16,2.29,12.19,0.32
4432831,Aliyah Boston,11.51,4.09,1.13,18.18,1.7
4432832,Zia Cooke,2.8,2.65,1.4,16.03,-15.22
4432834,Laeticia Amihere,13.17,1.46,0.98,9.27,-29.52
4432841,Jakia Brown-Turner,5,0,5,10,-35.14
4432864,Celeste Taylor,3.39,3.39,1.82,7.03,-3.55
4432865,Jacy Sheldon,3.52,4.25,0.99,9.32,-11.68
4433293,Charisma Osborne,4,4,0,8,8.01
4433386,Jaylyn Sherrod,3.16,5.26,3.16,20,14.18
4433402,Angel Reese,16.29,2.25,1.6,16.9,-2.42
4433403,Caitlin Clark,6.32,9.63,1.53,21.44,-1.91
4433404,Cameron Brink,9.64,3.01,1.93,13.61,-8.5
4433405,Kamilla Cardoso,11.62,2.47,0.78,14.32,-6.81
4433408,Aaliyah Edwards,10.32,2.59,1.35,13.95,-4.86
4433468,Nika Muhl,6.9,4.83,1.38,1.38,-4.92
4433630,Rickea Jackson,5.4,2.05,0.94,18.62,-12.86
4433633,Kierstan Bell,5.71,4.76,0,16.19,1.85
4433635,Diamond Miller,6.98,2.45,1.32,11.51,-9.58
4433661,Marquesha Davis,4.82,1.93,0.48,11.57,-7.98
4594527,Dulcy Fankam Mendjiadeu,9.73,1.08,0,6.49,-12.1
4595236,Dyaisha Fair,0,20,0,0,-30.51
4595910,Haley Jones,4.94,4.71,0.79,8.7,-10.95
4683006,Leonie Fiebich,5.82,3.31,1.8,12.64,14.71
5017721,Sika Kone,10.14,2.21,1.11,19.72,2.39
5017726,Jade Melbourne,4.2,4.5,1.83,15.19,-0.61
5105752,Alissa Pili,7.83,1.45,1.45,15.36,-9.26
5106150,Stephanie Soares,10.68,2.27,0.45,5.45,-8.21
5130672,Ivana Dojkic,3.4,3.09,1.39,13.44,4.97
5209660,Sevgi Uzun,3.18,5.82,1.81,8.56,-7.81
