PlayerID, PlayerName, TotalOnCourtTime, TotalPlusMinus, AveragePlusMinus ,Unweighted_PlusMinus,Weighted_PlusMinus,Ridge_Plus_Min
4065759,Mikiah Herbert Harrigan,20155.8,-126,-15,-0.345601735,-0.936805612,-0.059681551
4065760,Tyasha Harris,67826.8,163,5.77,0.279074917,0.254090941,0.030305427
4065820,Kysre Gondrezick,975,-2,-4.92,-0.205740646,-0.264227592,-0.001839789
4065870,Jackie Young,73557.5,246,8.03,0.175766638,0.220717096,0.032067752
4066527,Jaelyn Brown,8464.3,-77,-21.83,-0.405900588,-0.295214186,-0.049246151
4066533,Sabrina Ionescu,76719.9,302,9.45,0.357407434,0.244206428,0.065001791
4066548,DiJonai Carrington,69646.2,84,2.89,-0.108452199,0.132581346,-0.02865243
4066553,Aari McDonald,34373.9,-60,-4.19,0.343513767,0.472834488,-0.032145138
4066585,Crystal Dangerfield,26424.5,-172,-15.62,0.097082773,0.359090422,-0.042278397
4068042,Natasha Mack,37128.7,-128,-8.27,0.001002644,-0.257162133,-0.058282681
4068159,Sug Sutton,22776.7,-50,-5.27,0.131506081,0.481768528,-0.055238759
4068161,Joyner Holmes,13838.8,-6,-1.04,-0.247537829,-0.606770774,-0.03681673
4257500,Cecilia Zandalasini,29847.8,39,3.14,0.077303604,-0.303886037,-0.035553355
4280850,Maya Caldwell,24248.4,-125,-12.37,-0.015198824,0.036913653,-0.062567429
4280892,Chennedy Carter,51494,-10,-0.47,0.329550961,0.331473733,0.035617318
4281183,Lorela Cubaj,13241.4,-67,-12.14,0.09005121,-0.127584858,-0.050116852
4281190,Dana Evans,44599,-235,-12.65,-0.320162108,-0.598018107,-0.129623133
4281253,DiDi Richards,12159,-85,-16.78,-0.405509848,-0.25057273,-0.049549115
4281929,Satou Sabally,31040.9,-64,-4.95,0.435886534,0.678972696,0.037233991
4282168,Kiana Williams,2700.3,-2,-1.78,0.614750634,0.409014889,-0.001690101
4282173,Michaela Onyenwere,38152.2,-105,-6.61,0.142434746,0.207022632,-0.014399035
4398567,Taylor Soule,182.2,-10,-131.72,-1.918329492,-2.102764496,-0.01156093
4398591,Liz Dixon,9621.2,-55,-13.72,-0.164119018,-0.786179377,-0.023333412
4398674,Rhyne Howard,61987.9,-46,-1.78,0.357309487,0.584399281,0.0394688
4398726,Jessika Carter,258,-9,-83.72,-5.728965048,-7.638420211,-0.010912707
4398729,Emily Engstler,28135.1,11,0.94,-0.071999843,-0.400738805,0.062601189
4398751,Destanni Henderson,6288,-40,-15.27,0.377084979,0.61591464,0.005024624
4398752,Victaria Saxton,1363,-10,-17.61,-1.152943606,-1.675608474,-0.007251191
4398764,Rae Burrell,35051.2,-130,-8.9,0.259430602,0.757971379,-0.011397715
4398768,Nyara Sabally,21108,72,8.19,0.243531642,0.331248444,0.034168244
4398776,NaLyssa Smith,59568.1,-147,-5.92,-0.272979504,-0.391781225,-0.052290451
4398779,Queen Egbo,1744,-1,-1.38,-0.089911294,-0.266395516,-0.000376021
4398829,Lexie Hull,40569.9,-24,-1.42,0.272957259,0.20826496,0.054286873
4398899,Grace Berger,6136,-59,-23.08,0.25669272,-0.00545299,0.008069887
4398907,Kate Martin,23511.9,24,2.45,-0.113578112,-0.421493984,-0.021947525
4398911,Shakira Austin,14968.9,-28,-4.49,0.116592409,-0.234860697,0.011740749
4398915,Naz Hillmon,52958.2,-14,-0.63,0.10633707,-0.255646934,0.010923134
4398935,Veronica Burton,23849.4,155,15.6,0.270849938,0.467794019,0.072159624
4398938,Dorka Juhasz,33952.6,64,4.52,0.220796557,0.490008194,0.003787659
4398966,Olivia Nelson-Ododa,26158,90,8.26,0.30421282,-0.379207254,0.013579067
4399114,Lou Lopez Senechal,7526.8,-97,-30.93,-0.489818738,-0.773546219,-0.074231197
4399415,Maddy Siegrist,39222.4,-151,-9.24,0.265560071,0.389303681,-0.04430194
4420318,Ezi Magbegor,68730.8,257,8.97,0.085788313,-0.394713909,0.052860229
4422426,Li Yueru,32786.7,-137,-10.03,0.053529591,0.00237285,-0.017810708
4432830,Jordan Horston,52884.9,7,0.32,-0.128796903,0.00556478,-0.041245722
4432831,Aliyah Boston,75003.8,53,1.7,0.396650021,0.454304737,0.040718771
4432832,Zia Cooke,15450.2,-98,-15.22,-0.049866241,0.050927424,-0.069024213
4432834,Laeticia Amihere,4959.3,-61,-29.52,0.145928225,0.405474499,-0.008561518
4432841,Jakia Brown-Turner,478.1,-7,-35.14,-0.767319996,-1.914384023,-0.008956076
4432864,Celeste Taylor,19619.6,-29,-3.55,0.345053557,1.009044636,0.036606709
4432865,Jacy Sheldon,56098,-273,-11.68,-0.141426466,-0.720801114,-0.077430088
4433293,Charisma Osborne,599,2,8.01,1.07419791,1.615749809,0.00516305
4433386,Jaylyn Sherrod,2200.3,13,14.18,0.361967663,0.329080741,0.004541292
4433402,Angel Reese,67301.9,-68,-2.42,0.544447578,0.331520252,0.053450079
4433403,Caitlin Clark,86819.4,-69,-1.91,0.279660545,0.196149477,0.028020646
4433404,Cameron Brink,19770.8,-70,-8.5,0.028964025,-0.245116158,-0.000198358
4433405,Kamilla Cardoso,52548.4,-149,-6.81,0.131118829,0.128252923,-0.031152553
4433408,Aaliyah Edwards,44443.8,-90,-4.86,-0.13011098,-0.332143582,-0.073482266
4433468,Nika Muhl,3415.1,-7,-4.92,-0.690509561,-0.535231254,-0.023269993
4433630,Rickea Jackson,69422.5,-372,-12.86,0.023308919,-0.156383043,-0.044538506
4433633,Kierstan Bell,2599,2,1.85,-0.549099896,-0.979304213,-0.006463273
4433635,Diamond Miller,12771.5,-51,-9.58,-0.23880097,-0.416958038,-0.09049359
4433661,Marquesha Davis,4812,-16,-7.98,-0.17448252,0.164896747,-0.01448778
4594527,Dulcy Fankam Mendjiadeu,2182.3,-11,-12.1,-0.576807735,-0.876826307,-0.010564079
4595236,Dyaisha Fair,236,-3,-30.51,-1.928546324,-2.084920051,-0.001301794
4595910,Haley Jones,42740.1,-195,-10.95,0.140956714,0.215865035,-0.020967509
4683006,Leonie Fiebich,50725.8,311,14.71,0.592904723,0.639191175,0.133885243
5017721,Sika Kone,13035.3,13,2.39,0.128372232,-0.126471365,0.038705978
5017726,Jade Melbourne,31393.8,-8,-0.61,0.387449032,0.650518644,0.051590243
5105752,Alissa Pili,8292.7,-32,-9.26,-0.108743313,0.434527569,-0.042971529
5106150,Stephanie Soares,10524.6,-36,-8.21,-0.063822212,0.074226073,-0.038471626
5130672,Ivana Dojkic,15441,32,4.97,0.085598573,0.103599542,-0.044007175
5209660,Sevgi Uzun,49795.8,-162,-7.81,-1.223758894,-1.223758894,-1.23162381
